Watershed,Hname,Hectares,Acres,Date,Type,Year
20C,"pre-1978 1D",8.39,20.72,1972-04-23,PP,1972
R20B,1C,12.315,30.431,1972-04-23,PP,1972
1B,1B,8.26,20.4,1972-04-22,PP,1972
R20A,1A,26.332,65.068,1972-04-22,PP,1972
R20A,1A,12.43,30.715,1973-05-08,WU,1973
R1A,UA,14.414,35.617,1973-05-08,WU,1973
R1A,"pre-1978 WA",6.685,16.519,1973-05-08,WU,1973
R1A,"unassigned ",7.456,18.425,1973-05-08,WU,1973
2A,2A,16.64,41.11,1973-05-08,WU,1973
1B,"pre-1978 4A",7.02,17.35,1973-05-08,WU,1973
4A,"unassigned ",10.13,25.02,1973-05-08,WU,1973
SpA,"pre-1978 2B",1.552,3.836,1973-05-03,PP,1973
2B,2B,6.08,15.02,1973-05-03,PP,1973
1B,1B,11.07,27.36,1973-05-03,PP,1973
SuA,WC,0.869,2.148,1973-04-28,PU,1973
R20B,1C,2.32,6.43,1973-04-28,PP,1973
2C,2C,22.95,56.72,1973-04-28,"PP ",1973
SuA,"pre-1978 2D",7.568,18.701,1973-04-23,WP,1973
SuA,"pre-1978 10D",14.416,35.623,1973-04-23,WU,1973
WA,"pre-1978 4C",9.221,22.786,1973-04-23,WU,1973
WA,"unassigned ",2.378,5.877,1973-04-23,WU,1973
SuB,WC,4.107,10.148,1973-04-23,WU,1973
SuB,"unassigned ",2.369,5.853,1973-04-23,WU,1973
WB,"pre-1978 4D",11.55,28.55,1973-04-23,WU,1973
R20B,1C,10,24,1973-04-23,WP,1973
N4D,10C,2.69,6.647,1973-04-23,WU,1973
N4D,"unassigned ",4.568,11.287,1973-04-23,WU,1973
20B,"pre-1978 4C",2.62,6.47,1973-04-23,WU,1973
20B,"pre-1978 UC",6.13,15.14,1973-04-23,WU,1973
20B,unassigned,14.84,36.67,1973-04-23,WU,1973
N1B,N1B,1,2,1973-04-23,WU,1973
20C,"pre-1978 1D",5.13,12.68,1973-04-23,"PU ",1973
20C,"pre-1978 1D",0.86,2.13,1973-04-23,WU,1973
20C,"pre-1978 UD",11.28,27.88,1973-04-23,WU,1973
20C,WD,6.53,16.14,1973-04-23,WU,1973
2C,2C,9,22,1973-04-23,WP,1973
4F,"pre-1978 WC",7.01,17.32,1973-04-23,WU,1973
4F,"unassigned ",4.07,10.06,1973-04-23,WU,1973
FB,WC,11.181,27.628,1973-04-23,WU,1973
FA,"pre-1978 UC",11.089,27.402,1973-04-23,WU,1973
R20B,1C,12.315,30.431,1974-05-01,PP,1974
1B,1B,11.07,27.36,1974-04-30,PP,1974
SpB,"pre-1978 WB",14.039,34.691,1974-04-30,PP,1974
R20A,1A,26.332,65.068,1974-04-30,PP,1974
20C,"pre-1978 1D",8.39,20.73,1974-04-27,PP,1974
R20A,1A,26.332,65.068,1975-05-03,PP,1975
WA,"pre-1978 4C",9.221,22.786,1975-05-03,PP,1975
SpA,"pre-1978 4B",14.922,36.872,1975-05-03,PP,1975
R20B,1C,12.315,30.431,1975-05-03,PP,1975
20B,"pre-1978 4C",2.625,6.486,1975-05-03,PP,1975
2B,2B,1,2.46,1975-05-03,PP,1975
2A,2A,26.02,64.3,1975-05-03,PP,1975
1B,1B,12.01,29.69,1975-05-03,PP,1975
1B,"pre-1978 4A",16.41,40.55,1975-05-03,PP,1975
2C,2C,5,12.3,1975-05-03,PP,1975
4B,"pre-1978 4A",2.09,5.164,1975-05-03,PP,1975
SpA,"pre-1978 2B",1.55,3.83,1975-05-01,PP,1975
2B,2B,5.08,12.56,1975-05-01,PP,1975
2C,2C,17.95,44.42,1975-05-01,PP,1975
SuA,"pre-1978 2D",7.568,18.701,1975-04-30,PP,1975
WB,"pre-1978 4D",11.55,28.55,1975-04-30,PP,1975
20C,"pre-1978 1D",6.13,15.14,1975-04-30,PP,1975
2B,2B,1.56,3.84,1976-11-15,WU,1976
20C,"pre-1978 1D",5.97,14.75,1976-04-27,PP,1976
R20A,1A,26.332,65.068,1976-04-27,PP,1976
1B,1B,12.01,29.69,1976-04-26,PP,1976
R20B,1C,12.315,30.431,1976-04-26,PP,1976
R20A,1A,26.332,65.068,1977-04-23,PP,1977
SuA,"pre-1978 2D",7.568,18.701,1977-04-23,PP,1977
SpA,"pre-1978 2B",1.552,3.836,1977-04-23,PP,1977
R20B,1C,12.315,30.431,1977-04-23,PP,1977
20C,"pre-1978 1D",5.81,14.36,1977-04-23,PP,1977
2B,2B,6.08,15.02,1977-04-23,PP,1977
2A,2A,26.02,64.3,1977-04-23,PP,1977
1B,1B,12.01,29.69,1977-04-23,PP,1977
2C,2C,22.95,56.72,1977-04-23,PP,1977
2D,2D,48.41,119.62,1978-05-02,PP,1978
1D,1D,41.55,102.67,1978-05-02,PP,1978
20C,3B3UD,5.7,14.09,1978-05-02,PP,1978
R1B,4H,3.377,8.345,1978-05-02,PP,1978
SpB,4D,20.366,50.325,1978-04-29,PP,1978
SpB,"pre-1988 WB",15.374,37.989,1978-04-29,PP,1978
R20A,1A,26.332,65.068,1978-04-28,PP,1978
1B,1B,7.97,19.69,1978-04-27,PP,1978
1B,"pre-1988 WA",16.73,41.34,1978-04-26,PP,1978
2B,2B,6.08,15.02,1978-04-26,PP,1978
1B,1B,4.16,10.28,1978-04-25,PP,1978
FB,WC,11.181,27.628,1978-04-24,PP,1978
R20B,1C,12.315,30.431,1978-04-23,PP,1978
SpB,10B,3.014,7.447,1978-04-21,WU,1978
"Nature Trail","unassigned ",77.779,192.197,1979-04-28,PP,1979
K1A,"unassigned ",10.519,25.993,1979-04-28,PP,1979
N2A,"unassigned ",11.376,28.111,1979-04-27,PP,1979
HQA,"unassigned ",11.634,28.747,1979-04-27,PP,1979
HQB,"unassigned ",14.83,36.646,1979-04-27,PP,1979
HQC,"unassigned ",17.48,43.194,1979-04-27,PP,1979
HQD,"unassigned ",20.939,51.741,1979-04-27,PP,1979
R20A,1A,26.332,65.068,1979-04-26,PP,1979
R20B,1C,12.315,30.431,1979-04-26,PP,1979
FA,4E,11.089,27.402,1979-04-26,PP,1979
4B,4B,54.5,134.67,1979-04-26,PP,1979
20C,3B3UD,5.7,14.09,1979-04-26,PP,1979
2A,2A,27.96,69.1,1979-04-26,PP,1979
1D,1D,41.55,102.67,1979-04-26,PP,1979
1B,1B,12.01,29.69,1979-04-26,PP,1979
2C,2C,22.95,56.72,1979-04-26,PP,1979
"White Pasture","White Pasture",166.82,412.22,1979-04-24,PP,1979
C3SC,Unassigned,35.404,87.486,1979-04-24,PP,1979
4A,4A,18.84,46.56,1980-05-03,PP,1980
N4A,N4A,4,11,1980-05-03,WU,1980
R1A,3B3UA,29.124,71.966,1980-05-03,PP,1980
WB,4G,12.33,30.46,1980-05-01,PP,1980
R1A,UA,8.039,19.865,1980-04-30,WU,1980
R20A,1A,26.332,65.068,1980-04-30,PP,1980
1B,1B,7.97,19.69,1980-04-29,PP,1980
20C,UC,4.78,11.81,1980-04-29,WU,1980
R20B,1C,12.315,30.431,1980-04-29,PP,1980
SuA,10C,2.57,6.351,1980-04-29,WU,1980
SuA,3U3BC,11.8,29.17,1980-04-29,WU,1980
1B,1B,4.16,10.28,1980-04-28,PP,1980
1D,1D,41.55,102.67,1980-04-28,PP,1980
2B,2B,6.08,15.02,1980-04-28,PP,1980
20C,3B3UD,5.7,14.09,1980-04-28,PP,1980
R1B,4H,20,49,1980-04-28,PP,1980
AL,"unassigned ",12.85,31.74,1980-04-26,PP,1980
"AL - SC","unassigned ",21.13,52.2,1980-04-26,PP,1980
C1SB,"Texas Hog Pasture",69.81,172.51,1980-04-26,PP,1980
C3SC,"unassigned ",127.02,313.873,1980-04-26,PP,1980
C3SB,"unassigned ",226.27,559.124,1980-04-26,PP,1980
C3SA,"unassigned ",102.076,252.235,1980-04-26,PP,1980
C3A,"unassigned ",48.73,120.41,1980-04-26,PP,1980
C3B,"unassigned ",10,24.71,1980-04-26,PP,1980
K1A,"unassigned ",104.859,259.112,1980-04-26,PP,1980
N1A,"unassigned ",37.321,92.222,1980-04-26,PP,1980
K4A,"unassigned ",53.161,131.363,1980-04-26,PP,1980
K2A,"unassigned ",66.1,163.336,1980-04-26,PP,1980
K1B,"unassigned ",181.177,447.697,1980-04-26,PP,1980
"Nature Trail","unassigned ",95.418,235.783,1980-04-26,PP,1980
K20A,"unassigned ",83.13,205.418,1980-04-26,PP,1980
N4B,"unassigned ",56.775,140.293,1980-04-26,PP,1980
"White Pasture","White Pasture",166.82,412.22,1980-04-26,PP,1980
N20B,"unassigned ",84.364,208.467,1980-04-26,PP,1980
HQD,"unassigned ",24.372,60.224,1980-04-22,PP,1980
HQC,"unassigned ",17.48,43.194,1980-04-22,PP,1980
HQB,"unassigned ",11.379,28.117,1980-04-22,PP,1980
HQA,"unassigned ",6.762,16.708,1980-04-22,PP,1980
N2A,"unassigned ",8.32,20.558,1980-04-22,PP,1980
2D,2D,29,71,1980-03-20,WP,1980
C1A,CR3B-3U,93.78,231.73,1980-03-20,WU,1980
C3A,C4A,24,59,1980-03-20,WU,1980
C3B,C1B,75,185.33,1980-03-20,WU,1980
C3C,"unassigned ",102.956,254.409,1980-03-20,WU,1980
R1B,UD,36.42,89.996,1980-03-20,WU,1980
SuA,10C,11.8,29.17,1981-04-28,PP,1981
SuA,3U3BC,11.8,29.17,1981-04-28,PP,1981
WA,3U3BB,11.623,28.72,1981-04-28,PP,1981
R20B,1C,12.315,30.431,1981-04-28,PP,1981
1D,1D,41.55,102.67,1981-04-28,PP,1981
4F,4F,16.37,40.44,1981-04-28,PP,1981
2C,2C,22.95,56.72,1981-04-28,PP,1981
R20A,1A,26.332,65.068,1981-04-25,PP,1981
SpA,10A,24.537,60.631,1981-04-25,PP,1981
SpA,4C,8.818,21.791,1981-04-25,PP,1981
2A,2A,27.96,69.1,1981-04-25,PP,1981
1B,1B,12.01,29.69,1981-04-23,PP,1981
1B,1B,12.01,29.69,1982-04-22,PP,1982
R20B,1C,12.315,30.431,1982-04-22,PP,1982
"Nature Trail","unassigned ",54.727,135.234,1982-04-22,PP,1982
SpB,4D,20.366,50.325,1982-04-22,PP,1982
WA,3U3BB,11.623,28.72,1982-04-22,PP,1982
R20A,1A,26.332,65.068,1982-04-22,PP,1982
2D,2D,48.41,119.62,1982-04-21,PP,1982
1D,1D,41.55,102.67,1982-04-21,PP,1982
2B,2B,6.08,15.02,1982-04-21,PP,1982
R1B,4H,3.377,8.345,1982-04-21,PP,1982
SuA,3U3BC,11.8,29.17,1982-04-21,PP,1982
"White Pasture","White Pasture",166.82,412.22,1983-04-30,PP,1983
"Nature Trail","unassigned ",55.97,138.305,1983-04-30,PP,1983
C1A,CR3B-3U,3.08,7.6,1983-04-30,WU,1983
K1A,K1A,2.54,6.276,1983-04-30,PP,1983
C3C,C1A,1.653,4.084,1983-04-30,WU,1983
C3B,CUA,5.164,12.762,1983-04-30,WU,1983
C3A,CUA,8,20,1983-04-30,WU,1983
C3SC,"unassigned ",59.478,146.973,1983-04-30,PP,1983
SuA,3U3BC,11.8,29.17,1983-04-29,PP,1983
SpB,"pre-1988 WB",15.374,37.989,1983-04-29,PP,1983
FB,WC,11.181,27.628,1983-04-29,PP,1983
HQB,"unassigned ",3.79,9.365,1983-04-26,PP,1983
C3SB,"unassigned ",1.266,3.129,1983-04-21,PP,1983
R20A,1A,26.332,65.068,1983-04-20,PP,1983
2A,2A,27.96,69.1,1983-04-20,PP,1983
1D,1D,41.55,102.67,1983-04-20,PP,1983
1B,"pre-1988 WA",23.88,59,1983-04-20,PP,1983
1B,1B,12.01,29.69,1983-04-20,PP,1983
4B,4B,54.5,134.67,1983-04-20,PP,1983
WA,3U3BB,11.623,28.72,1983-04-18,PP,1983
R20B,1C,12.315,30.431,1983-04-18,PP,1983
2C,2C,22.95,56.72,1983-04-18,PP,1983
FA,4E,11.089,27.402,1983-04-18,PP,1983
AL,"unassigned ",1.316,3.251,1983-03-14,PP,1983
C3B,C1B,1,1,1984-09-23,WU,1984
HQB,"unassigned ",6.808,16.823,1984-05-04,PP,1984
1B,1B,12.01,29.69,1984-04-28,PP,1984
2B,2B,6.08,15.02,1984-04-28,PP,1984
N1A,N1A,34,84,1984-04-28,PP,1984
R20A,1A,26.332,65.068,1984-04-28,PP,1984
2D,2D,48.41,119.62,1984-04-19,PP,1984
1D,1D,41.55,102.67,1984-04-19,PP,1984
20C,3B3UD,5.7,14.09,1984-04-19,PP,1984
R20B,1C,12.315,30.431,1984-04-19,PP,1984
N1A,N1A,60,148,1984-04-19,PP,1984
WB,4G,12.33,30.46,1984-04-19,PP,1984
4A,4A,18.84,46.56,1984-04-18,PP,1984
R1A,3B3UA,29.124,71.966,1984-04-18,PP,1984
N4A,N4A,99.196,245.118,1984-04-18,PP,1984
AL,"unassigned ",1.09,2.693,1984-04-13,PP,1984
N2A,N2A,13.317,32.906,1984-02-03,WU,1984
20C,3B3UD,5.7,14.09,1985-05-02,PP,1985
1D,1D,41.55,102.67,1985-05-02,PP,1985
4F,4F,16.37,40.44,1985-05-02,PP,1985
FB,WC,11.181,27.628,1985-05-02,PP,1985
SpB,"pre-1988 WB",15.374,37.989,1985-04-24,PP,1985
SpA,4C,8.818,21.791,1985-04-24,PP,1985
R20B,1C,12.315,30.431,1985-04-24,PP,1985
1B,1B,12.01,29.69,1985-04-24,PP,1985
1B,"pre-1988 WA",23.88,59,1985-04-24,PP,1985
2C,2C,22.95,56.72,1985-04-24,PP,1985
R20A,1A,26.332,65.068,1985-04-16,PP,1985
K20A,KUA,53.681,132.648,1985-04-16,WU,1985
R1A,3B3UA,29.124,71.966,1985-04-16,PP,1985
2A,2A,27.96,69.1,1985-04-16,PP,1985
N1A,N1A,34,84,1985-04-15,PP,1985
K1B,K4B,7.524,18.592,1985-04-15,PP,1985
K2A,K2A,12.217,30.19,1985-04-15,PP,1985
K4A,K4A,53.161,131.363,1985-04-15,PP,1985
N4B,N4B,56.775,140.293,1985-04-15,PP,1985
"Nature Trail","unassigned ",96.042,237.325,1985-04-15,PP,1985
AL,K4A,41.61,102.81,1985-04-15,PP,1985
C1SB,"Texas Hog Pasture",69.81,172.51,1985-04-15,PP,1985
K1A,K1A,113.89,281.428,1985-04-15,PP,1985
C3SB,"unassigned ",1.963,4.851,1985-04-15,PP,1985
N2A,N2A,101.215,250.107,1985-04-11,PP,1985
N1A,N1A,60,148,1985-04-11,PP,1985
HQC,"unassigned ",17.483,43.201,1985-04-11,PP,1985
HQD,HQC,28.25,69.807,1985-04-11,PP,1985
HQB,"unassigned ",14.92,36.868,1985-04-09,PP,1985
HQA,"unassigned ",12.28,30.344,1985-04-09,PP,1985
HQD,HQC,28.25,69.807,1986-05-01,PP,1986
1B,1B,12.01,29.69,1986-05-01,PP,1986
1B,"pre-1988 WA",23.88,59,1986-05-01,PP,1986
R20A,1A,26.332,65.068,1986-05-01,PP,1986
N4C,N4C,77.842,192.351,1986-04-22,PP,1986
N1A,N1A,93.855,231.92,1986-04-22,PP,1986
C3SB,"unassigned ",226.265,559.112,1986-04-16,PP,1986
C3SC,"unassigned ",127.02,313.873,1986-04-16,PP,1986
C3SA,"unassigned ",102.076,252.235,1986-04-16,PP,1986
R1A,3B3UA,29.124,71.966,1986-04-16,PP,1986
SpB,4D,20.37,50.33,1986-04-16,PP,1986
SpB,"pre-1988 WB",15.37,37.98,1986-04-16,PP,1986
"White Pasture","White Pasture",122.23,302.03,1986-04-16,PP,1986
HQA,"unassigned ",12.28,30.344,1986-04-11,PP,1986
FB,WC,11.18,27.626,1986-04-11,PP,1986
HQC,"unassigned ",17.483,43.201,1986-04-11,PP,1986
HQB,"unassigned ",14.919,36.866,1986-04-11,PP,1986
4F,4F,1.346,3.326,1986-04-11,WU,1986
SuB,10D,15.63,38.62,1986-04-11,PP,1986
K1A,K1A,113.89,281.428,1986-04-10,PP,1986
C1SB,"Texas Hog Pasture",69.81,172.51,1986-04-10,PP,1986
"Nature Trail","unassigned ",101.87,251.726,1986-04-10,PP,1986
2D,2D,48.41,119.62,1986-04-09,PP,1986
1D,1D,41.55,102.67,1986-04-09,PP,1986
20C,3B3UD,5.7,14.09,1986-04-09,PP,1986
R20B,1C,12.315,30.431,1986-04-09,PP,1986
R1B,4H,3.38,8.352,1986-04-09,PP,1986
2B,2B,6.08,15.02,1986-04-08,PP,1986
SpB,10B,8.21,20.287,1986-04-08,PP,1986
N4C,N4C,4,10,1986-03-17,WP,1986
"White Pasture","White Pasture",166.82,412.22,1987-04-24,PP,1987
AL,"unassigned ",6.209,15.34,1987-04-24,PP,1987
C3SC,"unassigned ",66.115,163.373,1987-04-24,PP,1987
N2A,N2A,101.215,250.107,1987-04-23,PP,1987
"Belowground Plots","Belowground Plots",1.45,3.58,1987-04-10,PP,1987
1D,1D,41.55,102.67,1987-04-09,PP,1987
R20A,1A,26.332,65.068,1987-04-08,PP,1987
WA,3U3BB,11.622,28.719,1987-04-08,PP,1987
2A,2A,27.96,69.1,1987-04-08,PP,1987
1B,1B,12.01,29.69,1987-04-08,PP,1987
1B,"pre-1988 WA",23.88,59,1987-04-08,PP,1987
FB,WC,11.18,27.626,1987-04-08,PP,1987
4B,4B,54.5,134.67,1987-04-08,PP,1987
SpB,"pre-1988 WB",15.37,37.98,1987-04-07,PP,1987
R20B,1C,12.315,30.431,1987-04-07,PP,1987
2C,2C,22.95,56.72,1987-04-07,PP,1987
FA,4E,11.09,27.404,1987-04-07,PP,1987
SuA,3U3BC,11.8,29.17,1987-04-06,PP,1987
FB,WC,11,28,1988-11-10,PP,1988
1B,1B/WA,35.89,88.69,1988-04-20,PP,1988
R20A,1A,26.332,65.068,1988-04-20,PP,1988
2B,2B,6.08,15.02,1988-04-19,PP,1988
SuA,3U3BC,11.8,29.17,1988-04-15,PP,1988
C3B,C1B,20,50,1988-04-14,PP,1988
C3C,C1B,101.55,250.935,1988-04-14,PP,1988
"Belowground Plots","Belowground Plots",1.45,3.58,1988-04-14,PP,1988
C1A,C4B,93.78,231.73,1988-04-14,PP,1988
N4D,N4D,135.45,334.704,1988-04-13,PP,1988
N2B,N2B,118.78,293.511,1988-04-13,PP,1988
N1B,N1B,120.68,298.206,1988-04-13,PP,1988
K1A,"K1A ",113.89,281.428,1988-04-12,PP,1988
AL,AL,5.34,13.2,1988-04-12,PP,1988
C1SB,"Texas Hog Pasture",69.81,172.51,1988-04-12,PP,1988
"Nature Trail","Nature Trail",101.87,251.726,1988-04-12,PP,1988
K2A,K2A,66.1,163.336,1988-04-12,PP,1988
K1B,K1B,105.138,259.801,1988-04-12,PP,1988
K1B,K4B,76.118,188.092,1988-04-12,PP,1988
N4A,N4A,99.196,245.118,1988-04-11,PP,1988
2D,2D,48.41,119.62,1988-04-07,PP,1988
1D,1D,41.55,102.67,1988-04-07,PP,1988
R20B,1C,12.315,30.431,1988-04-07,PP,1988
WA,3U3BB,11.622,28.719,1988-04-07,PP,1988
4A,4A,18.84,46.56,1988-04-06,PP,1988
WB,4G,12.33,30.46,1988-04-05,PP,1988
HQA,HQA,12.28,30.344,1988-04-04,PP,1988
HQB,HQB,14.92,36.868,1988-04-04,PP,1988
N1A,N1A,93.855,231.92,1988-04-04,PP,1988
FB,WC,11.181,27.628,1989-11-10,PP,1989
AL,AL,23.28,57.53,1989-04-27,PP,1989
"Belowground Plots","Belowground Plots",1.45,3.58,1989-04-19,PP,1989
C3SC,S3C,127.02,313.873,1989-04-18,PP,1989
C3C,C1B,101.55,250.935,1989-04-17,PP,1989
C3B,C4A,53.239,131.556,1989-04-17,PP,1989
C3A,C4A,24.223,59.856,1989-04-17,PP,1989
2D,2D,3.78,9.341,1989-04-14,PP,1989
C3SB,S3B,1.95,4.819,1989-04-14,PP,1989
C3A,C4A,1,1,1989-04-14,PP,1989
K1B,K1B,105.138,259.801,1989-04-13,PP,1989
N2A,N2A,101.215,250.107,1989-04-13,PP,1989
SuA,3U3BC,11.8,29.17,1989-04-12,PP,1989
R20B,1C,12.315,30.431,1989-04-12,PP,1989
1D,1D,41.55,102.67,1989-04-12,PP,1989
R20A,1A,26.332,65.068,1989-04-11,PP,1989
WA,3U3BB,11.622,28.719,1989-04-11,PP,1989
SpA,4C,8.818,21.791,1989-04-11,PP,1989
2A,2A,27.96,69.1,1989-04-11,PP,1989
1B,1B/WA,35.89,88.69,1989-04-11,PP,1989
2C,2C,22.95,56.72,1989-04-11,PP,1989
K4A,K4A,53.16,131.361,1989-04-10,PP,1989
N1A,N1A,93.855,231.92,1989-04-10,PP,1989
N20A,N20A,82.98,205.048,1989-04-10,PP,1989
K1A,K1A,113.89,281.428,1989-04-10,PP,1989
4F,4F,16.37,40.44,1989-04-07,PP,1989
HQD,HQC,28.25,69.807,1989-04-07,PP,1989
HQB,HQB,14.92,36.868,1989-04-07,PP,1989
HQC,HQC,17.483,43.201,1989-04-07,PP,1989
HQA,HQA,12.28,30.344,1989-04-07,PP,1989
N1B,N1B,120.68,298.206,1989-04-05,PP,1989
N4B,N4B,56.775,140.293,1989-04-05,PP,1989
"Belowground Plots","Belowground Plots",1.45,3.58,1990-05-01,PP,1990
C3SB,S3B,226.265,559.112,1990-04-30,PP,1990
"White Pasture","White Pasture",166.82,412.22,1990-04-30,PP,1990
20C,3B3UD,5.7,14.09,1990-04-23,PP,1990
N20A,N20A,82.978,205.043,1990-04-23,PP,1990
HQC,HQC,17.483,43.201,1990-04-21,PP,1990
HQD,HQC,28.25,69.807,1990-04-21,PP,1990
C3B,C1B,20,50,1990-04-18,PP,1990
C3C,C1B,101.552,250.94,1990-04-18,PP,1990
C1A,C4B,93.78,231.73,1990-04-18,PP,1990
2D,2D,48.41,119.62,1990-04-18,PP,1990
R1B,4H,3.377,8.345,1990-04-18,PP,1990
1D,1D,41.55,102.67,1990-04-16,PP,1990
K2A,K2A,66.1,163.336,1990-04-16,PP,1990
K1B,K1B,105.138,259.801,1990-04-16,PP,1990
SpB,4D,20.37,50.33,1990-04-14,PP,1990
2B,2B,6.08,15.02,1990-04-12,PP,1990
R20B,1C,12.315,30.431,1990-04-12,PP,1990
HQA,HQA,12.278,30.34,1990-04-11,PP,1990
HQB,HQB,14.922,36.873,1990-04-11,PP,1990
N1A,N1A,93.855,231.92,1990-04-11,PP,1990
N4C,N4C,77.842,192.351,1990-04-07,PP,1990
N2B,N2B,118.781,293.514,1990-04-06,PP,1990
N1B,N1B,120.683,298.214,1990-04-06,PP,1990
K1A,K1A,113.89,281.428,1990-04-04,PP,1990
C1SB,"Texas Hog Pasture",69.81,172.51,1990-04-04,PP,1990
"Nature Trail","Nature Trail",101.87,251.726,1990-04-04,PP,1990
1B,1B/WA,35.89,88.69,1990-04-03,PP,1990
R1A,3B3UA,29.124,71.966,1990-04-03,PP,1990
R20A,1A,26.332,65.068,1990-04-03,PP,1990
N20B,N20B,22.91,56.612,1991-10-20,WU,1991
WA,3U3BB,4.56,11.27,1991-10-20,WU,1991
K1B,K4B,28.57,70.598,1991-10-20,WU,1991
20B,20B/UC/4B,2,5,1991-10-20,WU,1991
N1B,N1B,61.45,151.846,1991-10-20,WU,1991
R20B,1C,1,2.46,1991-10-20,WU,1991
4F,4F,9.71,23.99,1991-10-20,WU,1991
FB,WC,1,2.46,1991-10-20,WU,1991
"Belowground Plots","Belowground Plots",1.45,3.58,1991-05-01,PP,1991
R20A,1A,26.332,65.068,1991-04-24,PP,1991
SpA,10A,24.537,60.631,1991-04-24,PP,1991
R1A,3B3UA,29.124,71.966,1991-04-24,PP,1991
2A,2A,27.96,69.1,1991-04-24,PP,1991
1B,1B/WA,35.89,88.69,1991-04-24,PP,1991
4B,4B,54.5,134.67,1991-04-24,PP,1991
N2A,N2A,101.215,250.107,1991-04-23,PP,1991
K1A,K1A,113.89,281.428,1991-04-19,PP,1991
WB,4G,12.33,30.46,1991-04-05,WU,1991
SuB,10D,15.63,38.62,1991-04-05,WU,1991
N20B,N20B,84.364,208.467,1991-04-05,WU,1991
SuA,10C,11.06,27.32,1991-04-05,WU,1991
SuA,3U3BC,11.8,29.17,1991-04-05,WU,1991
WA,3U3BB,11.62,28.72,1991-04-05,WU,1991
K1B,K1B,105.138,259.801,1991-04-05,"WP ",1991
K1B,K4B,76.118,188.092,1991-04-05,WU,1991
K2A,K2A,66.1,163.336,1991-04-05,WU,1991
K4A,K4A,53.161,131.364,1991-04-05,WU,1991
20B,20B/UC/4B,23.77,58.75,1991-04-05,WU,1991
N1A,N1A,93.855,231.92,1991-04-05,"WP ",1991
N1B,N1B,120.683,298.214,1991-04-05,"WP ",1991
N4D,N4D,135.45,334.704,1991-04-05,WU,1991
N2B,N2B,118.781,293.514,1991-04-05,WU,1991
N20A,N20A,82.978,205.043,1991-04-05,"WP ",1991
K20A,K20A,83.13,205.418,1991-04-05,WU,1991
N4B,N4B,56.775,140.293,1991-04-05,WU,1991
R1B,4H,3.377,8.345,1991-04-05,WU,1991
R1B,20D,36.42,89.996,1991-04-05,WU,1991
R20B,1C,12.315,30.431,1991-04-05,"WP ",1991
20C,3B3UD,5.7,14.09,1991-04-05,"WP ",1991
20C,UC,30.37,75.04,1991-04-05,WU,1991
1D,1D,41.55,102.67,1991-04-05,"WP ",1991
2D,2D,48.41,119.62,1991-04-05,WU,1991
2C,2C,22.95,56.72,1991-04-05,"WP ",1991
4F,4F,16.37,40.44,1991-04-05,WU,1991
C1SB,"Texas Hog Pasture",69.81,172.51,1991-04-05,WU,1991
C1A,C4B,93.78,231.73,1991-04-05,WU,1991
FA,4E,11.089,27.402,1991-04-05,"WP ",1991
FB,WC,11.181,27.628,1991-04-05,WU,1991
C3C,C1B,101.552,250.94,1991-04-05,"WP ",1991
C3B,C4A2,54.14,133.783,1991-04-05,"WP ",1991
C3B,C4A1,14.212,35.119,1991-04-05,WU,1991
C3SB,S3B,226.265,559.112,1991-04-05,WU,1991
C3SC,S3C,127.023,313.88,1991-04-05,WU,1991
C3A,C4A2,25.072,61.954,1991-04-05,"WP ",1991
C3A,C4A1,23.656,58.455,1991-04-05,WU,1991
C3SA,S3A,102.075,252.232,1991-04-05,"WP ",1991
HQD,HQC,28.25,69.807,1991-04-04,PP,1991
HQB,HQB,14.922,36.873,1991-04-04,PP,1991
HQC,HQC,17.483,43.201,1991-04-04,PP,1991
HQA,HQA,12.278,30.34,1991-04-04,PP,1991
4F,4F,7,17.3,1992-09-20,WU,1992
R20B,1C,0.5,1,1992-09-20,WP,1992
N1B,N1B,46,113,1992-09-20,WP,1992
K1B,K4B,24,58,1992-09-20,WU,1992
WA,3U3BB,3,7.4,1992-09-20,WU,1992
N20B,N20B,26,65,1992-09-20,WU,1992
"Belowground Plots","Belowground Plots",1.45,3.58,1992-04-28,PP,1992
1B,1B/WA,35.89,88.69,1992-04-28,PP,1992
2B,2B,6.08,15.02,1992-04-28,PP,1992
R20B,1C,12.315,30.431,1992-04-28,PP,1992
2D,2D,48.41,119.62,1992-04-23,PP,1992
1D,1D,41.55,102.67,1992-04-23,PP,1992
20C,3B3UD,5.7,14.09,1992-04-23,PP,1992
WB,4G,12.33,30.46,1992-04-23,PP,1992
HQA,HQA,12.278,30.34,1992-04-22,PP,1992
HQC,HQC,17.483,43.201,1992-04-22,PP,1992
HQB,HQB,14.922,36.873,1992-04-22,PP,1992
HQD,HQC,28.25,69.807,1992-04-22,PP,1992
K1A,K1A,113.89,281.428,1992-04-22,PP,1992
N1B,N1B,120.683,298.214,1992-04-17,PP,1992
K1B,K1B,105.138,259.801,1992-04-17,PP,1992
K1B,K4B,76.118,188.092,1992-04-17,PP,1992
N20A,N20A,82.978,205.043,1992-04-14,PP,1992
N2B,N2B,118.781,293.514,1992-04-14,PP,1992
N1A,N1A,93.855,231.92,1992-04-14,PP,1992
4A,4A,18.84,46.56,1992-04-13,PP,1992
R1A,3B3UA,29.124,71.966,1992-04-13,PP,1992
